Notikuma identifikators;Vērtība;Lauka nosaukums
220466161;Asfaltbetons;Seguma veids
220470356;Asfaltbetons;Seguma veids
220470814;Asfaltbetons;Seguma veids
220486794;Asfaltbetons;Seguma veids
220477615;Asfaltbetons;Seguma veids
220430493;Asfaltbetons;Seguma veids
220614547;Asfaltbetons;Seguma veids
220638338;Bruģis;Seguma veids
220632107;Asfaltbetons;Seguma veids
220640238;Asfaltbetons;Seguma veids
220529366;Bruģis;Seguma veids
220553144;Asfaltbetons;Seguma veids
220606944;Asfaltbetons;Seguma veids
220616982;Asfaltbetons;Seguma veids
220590996;Apmācies;Laika apstākļi
220596557;Saulains;Laika apstākļi
220618668;Saulains;Laika apstākļi
220630738;Apmācies;Laika apstākļi
220640025;Skaidrs;Laika apstākļi
