Notikuma identifikators;TL kārtas numurs notikumā;TL veids;Marka;Modelis;Izlaiduma gads;Personas kārtas numurs notikumā;Statuss;Vecums (uz notikuma brīdi);Dzimums;Reibums;Miesas bojājumi
220374232;2;Kvadracikls;;;;2;Pasažieris;16;V;Nē;viegli miesas bojājumi
220374268;1;Vieglā;AUDI;A6 ALLROAD QUATTRO;2015;1;Vadītājs;53;V;Nē;bez miesas bojājumiem
220374268;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220374287;1;Vieglā;VOLVO;S40;2008;1;Vadītājs;33;S;Nē;bez miesas bojājumiem
220374287;2;Vieglā;MERCEDES BENZ;C220;2009;2;Vadītājs;45;V;Nē;bez miesas bojājumiem
220374373;1;Trolejbuss;;;;2;Pasažieris;77;S;Nē;viegli miesas bojājumi
220374373;1;Trolejbuss;;;;1;Vadītājs;62;V;Nē;bez miesas bojājumiem
220374451;1;Vieglā;PEUGEOT;508;2013;1;Vadītājs;62;V;Nē;bez miesas bojājumiem
220374451;2;Motocikls;BMW;R1200RT;2011;2;Vadītājs;52;V;Nē;bez miesas bojājumiem
220374549;1;Vieglā;MERCEDES BENZ;E220;2011;1;Vadītājs;62;V;Nē;bez miesas bojājumiem
220374549;2;Vieglā;AUDI;A4 CABRIOLET;2008;2;Vadītājs;52;S;Nē;bez miesas bojājumiem
220374568;1;Kravas;ISUZU;D MAX;2016;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
220374621;1;Vieglā;VW;PASSAT;1998;1;Vadītājs;20;V;Jā;bez miesas bojājumiem
220374668;1;Vieglā;AUDI;A4;2006;1;Vadītājs;31;V;Nē;bez miesas bojājumiem
220374668;2;Autobuss;SOLARIS;URBINO 12;2017;2;Vadītājs;48;S;Nē;bez miesas bojājumiem
220374670;1;Vieglā;TOYOTA;COROLLA;2002;2;Vadītājs;65;V;Nē;bez miesas bojājumiem
220374670;2;Piekabe;NEPTUN;;2020;2;Citi;65;V;Nē;bez miesas bojājumiem
220374670;3;Vieglā;PEUGEOT;EXPERT TRAVELLER;2019;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
220374733;1;Vieglā;TOYOTA;AVENSIS;2015;1;Vadītājs;68;V;Nē;viegli miesas bojājumi
220374753;1;Vieglā;AUDI;A6;2000;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
220374817;1;Vieglā;VW;PASSAT;2015;1;Vadītājs;45;V;Nē;bez miesas bojājumiem
220374980;1;Kravas;MERCEDES BENZ;1820;1997;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
220374980;2;Vieglā;OPEL;ASTRA;2010;2;Vadītājs;40;S;Nē;bez miesas bojājumiem
220374989;1;Puspiekabe;KOGEL;SN 24;2012;3;;;;Nē;
220374989;2;Kravas;SCANIA;R 440;2010;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220374989;3;Vieglā;VOLVO;S40;2006;2;Vadītājs;33;S;Nē;bez miesas bojājumiem
220375039;1;Vieglā;VOLVO;V40;2004;2;Vadītājs;28;V;Nē;bez miesas bojājumiem
220375039;2;Vieglā;HYUNDAI;I20;2017;1;Vadītājs;28;S;Nē;bez miesas bojājumiem
220375243;1;Kravas;ŠKODA;YETI;2012;2;Vadītājs;18;V;Nē;bez miesas bojājumiem
220375243;2;Vieglā;AUDI;A4;2010;1;Vadītājs;25;S;Nē;bez miesas bojājumiem
220375426;1;Vieglā;VW;GOLF VARIANT;2001;2;Vadītājs;29;V;Nē;bez miesas bojājumiem
220375426;2;Vieglā;MERCEDES BENZ;GLK 320;2009;1;Vadītājs;52;V;Nē;bez miesas bojājumiem
220375530;1;Vieglā;HONDA;CRV;1999;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
220375530;2;Vieglā;BMW;520D;2017;2;Vadītājs;43;V;Nē;bez miesas bojājumiem
220375551;1;Vieglā;BMW;730D;2016;1;Vadītājs;39;V;Nē;bez miesas bojājumiem
220375574;1;Kravas;DODGE;RAM 1500;2002;1;Vadītājs;65;V;Nē;bez miesas bojājumiem
220375574;2;Piekabe;TIKI;CS270-L;2020;3;;;;Nē;
220375574;3;Vieglā;OPEL;ZAFIRA;2005;2;Vadītājs;85;V;Nē;bez miesas bojājumiem
220375578;1;Vieglā;FIAT;FIORINO QUBO;2009;2;Vadītājs;39;V;Nē;bez miesas bojājumiem
220375578;2;Vieglā;BMW;X5;2003;1;Vadītājs;67;V;Nē;bez miesas bojājumiem
220375694;1;Vieglā;BMW;320;2012;1;Vadītājs;28;V;Nē;bez miesas bojājumiem
220375733;1;Vieglā;VW;TIGUAN;2008;1;Vadītājs;50;S;Nē;bez miesas bojājumiem
220375733;2;Vieglā;HYUNDAI;SANTA FE;2003;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220375735;1;Kravas;MAN;TGX;2012;1;Vadītājs;62;V;Nē;bez miesas bojājumiem
220375735;2;Puspiekabe;KRONE;SDP 27;2007;2;;;;Nē;
220375797;1;Kravas;FIAT;DUCATO;2019;1;Vadītājs;34;V;Nē;bez miesas bojājumiem
220375797;2;Mopēds,motorollers;;;;2;Mopēdists;68;V;Nē;bez miesas bojājumiem
220375909;1;Kravas;VW;CRAFTER;2019;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220375909;2;Kravas;;;;2;Vadītājs;;;Nē;bez miesas bojājumiem
220375977;1;Vieglā;RENAULT;TALISMAN;2016;2;Vadītājs;34;V;Nē;bez miesas bojājumiem
220375977;2;Motocikls;;;;1;Vadītājs;33;V;Jā;bez miesas bojājumiem
220376134;1;Vieglā;BMW;Z3;1996;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
220376172;1;Kravas;MERCEDES BENZ;SPRINTER 412;1997;1;Vadītājs;58;V;Jā;bez miesas bojājumiem
220376222;1;Vieglā;FORD;FOCUS;2011;1;Vadītājs;41;V;Nē;bez miesas bojājumiem
220376222;2;Velosipēds;;;;2;Velosipēda vadītājs;17;S;Nē;viegli miesas bojājumi
220376268;1;Nedefinēts;;;;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220376294;1;Vieglā;OPEL;ZAFIRA;2008;2;Vadītājs;57;V;Nē;bez miesas bojājumiem
220376294;2;Vieglā;AUDI;A6;2008;3;Vadītājs;29;V;Nē;bez miesas bojājumiem
220376294;3;Autobuss;MERCEDES BENZ;0530G;2006;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
220376412;1;Velosipēds;;;;1;Velosipēda vadītājs;24;V;Nē;viegli miesas bojājumi
220376412;2;Pārvietošanās līdzeklis ar elektromotoru;;;;2;Citi;;V;Nē;bez miesas bojājumiem
220376479;1;Vieglā;FORD;FIESTA;1998;1;Pasažieris;57;V;Nē;viegli miesas bojājumi
220376479;1;Vieglā;FORD;FIESTA;1998;2;Vadītājs;41;V;Jā;viegli miesas bojājumi
220376502;1;Vieglā;CHRYSLER;300C;2009;2;Vadītājs;24;V;Nē;bez miesas bojājumiem
220376502;2;Vieglā;FORD;GRAND C-MAX;2014;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
220376511;1;Vieglā;RENAULT;TRAFIC;2016;1;Vadītājs;48;V;Nē;bez miesas bojājumiem
220376511;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220376729;1;Vieglā;VW;SHARAN;2001;1;Vadītājs;55;V;Nē;bez miesas bojājumiem
220376788;1;Vieglā;VOLVO;XC70;2008;1;Vadītājs;22;S;Nē;bez miesas bojājumiem
220376926;1;Vieglā;MERCEDES BENZ;300;1989;3;Vadītājs;41;V;Nē;bez miesas bojājumiem
220376926;2;Vieglā;AUDI;A3;2003;4;Vadītājs;64;S;Nē;bez miesas bojājumiem
220376926;3;Kravas;CITROEN;JUMPER;2008;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
220376926;4;Kravas;VW;TRANSPORTER;1996;2;Vadītājs;42;V;Nē;bez miesas bojājumiem
220377175;1;Vieglā;ŠKODA;OCTAVIA;2013;1;Vadītājs;38;V;Nē;bez miesas bojājumiem
220377175;2;Kravas;SCANIA;R114;2003;2;Vadītājs;60;V;Nē;bez miesas bojājumiem
220377261;1;Vieglā;AUDI;A4;1996;1;Vadītājs;22;V;Nē;bez miesas bojājumiem
220377261;2;Vieglā;TOYOTA;RAV4;2006;2;Vadītājs;20;S;Nē;bez miesas bojājumiem
220377302;1;Vieglā;ŠKODA;OCTAVIA;2017;1;Vadītājs;32;S;Nē;bez miesas bojājumiem
220377302;2;Vieglā;VW;PASSAT;;2;Vadītājs;39;V;Nē;bez miesas bojājumiem
220377328;1;Velosipēds;;;;1;Velosipēda vadītājs;60;V;Jā;bez miesas bojājumiem
220377458;1;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220377458;;;;;;1;Gājējs;28;S;Nē;viegli miesas bojājumi
220377480;1;Vieglā;AUDI;A6;2006;1;Vadītājs;30;V;Nē;bez miesas bojājumiem
220377545;1;Vieglā;HYUNDAI;TUCSON;2016;1;Vadītājs;44;S;Nē;bez miesas bojājumiem
220377563;1;Vieglā;VW;GOLF;1998;2;Vadītājs;26;S;Nē;bez miesas bojājumiem
220377563;2;Vieglā;AUDI;A6 AVANT;1996;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
220377577;1;Vieglā;AUDI;A4;1996;1;Vadītājs;43;V;Nē;bez miesas bojājumiem
220377577;2;Vieglā;BMW;320;2001;2;Vadītājs;21;V;Nē;bez miesas bojājumiem
220377592;1;Vieglā;OPEL;ASTRA;2004;2;Vadītājs;29;V;Nē;bez miesas bojājumiem
220377592;2;Vieglā;CHRYSLER;STRATUS;1998;1;Vadītājs;75;V;Nē;bez miesas bojājumiem
220377630;1;Mopēds,motorollers;;;;1;Mopēdists;50;V;Jā;viegli miesas bojājumi
220377670;1;Vieglā;MERCEDES BENZ;B 180;2008;1;Vadītājs;51;V;Nē;bez miesas bojājumiem
220377670;2;Vieglā;VOLVO;S40;2004;2;Vadītājs;28;S;Nē;bez miesas bojājumiem
220377846;1;Velosipēds;;;;1;Velosipēda vadītājs;24;S;Nē;viegli miesas bojājumi
220377858;1;Vieglā;BMW;530;2010;2;Vadītājs;34;V;Nē;bez miesas bojājumiem
220377858;;;;;;1;Gājējs;52;S;Nē;bez miesas bojājumiem
220377892;1;Vieglā;HONDA;ACCORD;2007;1;Vadītājs;63;S;Nē;viegli miesas bojājumi
220377909;1;Vieglā;;;;1;Vadītājs;32;V;Nē;bez miesas bojājumiem
220377932;1;Vieglā;MERCEDES BENZ;C180;1996;1;Vadītājs;21;V;Nē;bez miesas bojājumiem
220378100;1;Vieglā;TOYOTA;VERSO;2011;1;Vadītājs;42;V;Nē;bez miesas bojājumiem
220378100;2;Vieglā;MERCEDES BENZ;E280;2008;2;Vadītājs;20;V;Nē;bez miesas bojājumiem
220378138;1;Velosipēds;;;;1;Velosipēda vadītājs;80;S;Nē;viegli miesas bojājumi
220378138;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220378154;1;Kravas;MERCEDES BENZ;AXOR 1823;2005;1;Vadītājs;47;V;Nē;bez miesas bojājumiem
220378172;1;Vieglā;VW;LUPO;2001;1;Vadītājs;62;V;Jā;bez miesas bojājumiem
220378183;1;Kravas;VOLVO;FH;2015;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
220378183;2;Piekabe;TRAILER BYGG;TOM36;1993;4;;;;Nē;
220378183;3;Vieglā;AUDI;A6 AVANT;2005;2;Vadītājs;46;V;Nē;bez miesas bojājumiem
220378183;4;Vieglā;VW;NEW BEETLE;2007;3;Vadītājs;55;S;Nē;bez miesas bojājumiem
220378189;1;Vieglā;BMW;525;2006;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220378205;1;Vieglā;VW;POLO;2016;1;Vadītājs;38;S;Nē;bez miesas bojājumiem
220378205;2;Vieglā;VW;PASSAT;2018;2;Vadītājs;43;S;Nē;bez miesas bojājumiem
220378300;1;Nedefinēts;;;;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220378314;1;Vieglā;VW;GOLF;1999;2;Vadītājs;42;V;Nē;bez miesas bojājumiem
220378314;2;Vieglā;HYUNDAI;SANTA FE;2012;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
220378337;1;Kravas;VW;AMAROK;2011;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220378351;1;Vieglā;HONDA;CIVIC;2006;1;Vadītājs;56;S;Nē;bez miesas bojājumiem
220378369;1;Vieglā;BMW;525;2009;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
220378446;1;Kravas;OPEL;CORSA;1996;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
220378446;2;Vieglā;MITSUBISHI;GRANDIS;2009;2;Vadītājs;38;V;Nē;bez miesas bojājumiem
220378446;3;Vieglā;TOYOTA;AURIS;2008;3;Vadītājs;26;S;Nē;bez miesas bojājumiem
220378450;1;Vieglā;VOLVO;S60;2002;1;Vadītājs;23;V;Nē;bez miesas bojājumiem
220378545;1;Nedefinēts;;;;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220378547;1;Vieglā;TOYOTA;COROLLA;2019;1;Vadītājs;41;S;Nē;bez miesas bojājumiem
220378578;1;Kravas;SCANIA;R164;2002;1;Vadītājs;53;V;Nē;bez miesas bojājumiem
220378578;2;Puspiekabe;STAS;SZ339V;2001;2;;;;Nē;
220378618;1;Motocikls;YAMAHA;FZS 600;2000;2;Vadītājs;50;V;Nē;viegli miesas bojājumi
220378618;2;Vieglā;BMW;X5 M50D;2015;1;Vadītājs;40;V;Nē;bez miesas bojājumiem
220378620;1;Vieglā;MITSUBISHI;OUTLANDER;2011;2;Vadītājs;65;V;Nē;bez miesas bojājumiem
220378620;2;Vieglā;VOLVO;S80;2002;1;Vadītājs;34;V;Jā;bez miesas bojājumiem
220378659;1;Vieglā;VOLVO;S80;2002;1;Vadītājs;31;V;Nē;bez miesas bojājumiem
220378805;1;Vieglā;TOYOTA;C-HR;2018;1;Vadītājs;59;S;Nē;bez miesas bojājumiem
220378911;1;Vieglā;VW;CADDY LIFE;2008;1;Vadītājs;51;S;Nē;bez miesas bojājumiem
220378946;1;Vieglā;AUDI;A6;2006;1;Vadītājs;34;V;Nē;bez miesas bojājumiem
220378946;2;Vieglā;BMW;730D;2007;2;Vadītājs;38;S;Nē;bez miesas bojājumiem
220378996;1;Vieglā;VOLVO;S80;1999;1;Vadītājs;70;V;Nē;bez miesas bojājumiem
220378996;2;Vieglā;RENAULT;MEGANE SCENIC;2003;2;Vadītājs;51;V;Nē;bez miesas bojājumiem
220379111;1;Kravas;MERCEDES BENZ;ACTROS 1843;2009;1;Vadītājs;35;V;Nē;bez miesas bojājumiem
220379111;2;Piekabe;KRONE;SD;2008;2;;;;Nē;
220379156;1;Vieglā;VW;PASSAT;2002;1;Vadītājs;68;V;Nē;bez miesas bojājumiem
220379156;2;Velosipēds;;;;2;Velosipēda vadītājs;27;V;Nē;bez miesas bojājumiem
220379290;1;Kravas;VOLVO;FH;2016;1;Vadītājs;66;V;Nē;bez miesas bojājumiem
220379290;2;Puspiekabe;SCHMITZ;SCS 24;2020;2;;;;Nē;
220379399;1;Motocikls;YAMAHA;YZF600R;1997;1;Vadītājs;26;V;Nē;smagi miesas bojājumi
220379403;1;Vieglā;TOYOTA;LAND CRUISER;2011;1;Vadītājs;54;V;Nē;bez miesas bojājumiem
220379403;2;Nedefinēts;;;;2;Vadītājs;40;V;Nē;bez miesas bojājumiem
220379411;1;Kravas;RENAULT;MASTER;2007;1;Vadītājs;59;V;Nē;bez miesas bojājumiem
220379411;2;Vieglā;BMW;330;2001;2;Vadītājs;24;V;Nē;bez miesas bojājumiem
220379612;1;Vieglā;MERCEDES BENZ;E270;2005;1;Pasažieris;33;V;Nē;viegli miesas bojājumi
220379612;1;Vieglā;MERCEDES BENZ;E270;2005;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220379653;1;Vieglā;FORD;ECOSPORT;2019;1;Vadītājs;;V;Nē;bez miesas bojājumiem
220379746;1;Vieglā;AUDI;A8;2004;1;Vadītājs;48;V;Nē;bez miesas bojājumiem
220379781;1;Vieglā;RENAULT;LAGUNA;2005;1;Vadītājs;43;S;Nē;bez miesas bojājumiem
220379872;1;Vieglā;LEXUS;RX 350;2014;1;Vadītājs;46;S;Nē;bez miesas bojājumiem
220379872;2;Nedefinēts;;;;2;Vadītājs;;V;Nē;bez miesas bojājumiem
220379895;1;Vieglā;VW;PASSAT;1990;1;Vadītājs;58;V;Jā;gājis bojā
220379999;1;Vieglā;LEXUS;RX450H;2009;1;Vadītājs;50;V;Nē;bez miesas bojājumiem
220379999;2;Motocikls;PIAGGIO;X9;2004;2;Vadītājs;27;V;Nē;bez miesas bojājumiem
220380022;1;Vieglā;VW;GOLF VARIANT;2000;2;Vadītājs;20;V;Nē;bez miesas bojājumiem
220380022;2;Vieglā;OPEL;ASTRA;2004;1;Vadītājs;20;S;Nē;bez miesas bojājumiem
220380071;1;Motocikls;HONDA;GL 1200;1985;1;Vadītājs;34;V;Nē;bez miesas bojājumiem
220380071;2;Vieglā;TOYOTA;YARIS;2019;2;Vadītājs;39;S;Nē;bez miesas bojājumiem
220380127;1;Vieglā;MERCEDES BENZ;S500;2013;1;Vadītājs;66;V;Nē;bez miesas bojājumiem
220380127;2;Vieglā;MITSUBISHI;ECLIPSE CROSS;2018;2;Vadītājs;27;S;Nē;bez miesas bojājumiem
220380144;1;Vieglā;CHRYSLER;GRAND VOYAGER;1994;1;Vadītājs;37;V;Nē;bez miesas bojājumiem
